3	違います	違います	4	自五	不同,不对
3	色色	いろいろ	0	名,副，形动	各种各样,形形色色
3	どうもありがとうございます	どうもありがとうございます	　	寒暄语	谢谢
3	どういたいました	どういたいました	　1	寒暄语	不用谢
3	失礼します	しつれいします	　	自サ	告辞
3	さようなら	さようなら	4,0	组	再见
4☆	牛肉	ぎゅうにく	0	名	牛肉
4☆	お婆さん	おばんさん	2	名	祖母、奶奶
4	評判☆	ひょうばん	0	名	评价
4	寮☆	りょう	1	名	宿舍
4	学園都市	がくえんとし	5	名	大学城
4	辺り	あたり	1	名	附近、周围
4	キャンパス	campus	1	名	大学校园
4	皆	みんな	0	副	全部、都
4	新しい	あたらしい	4	形	新的
4	私たち	わたしたち	3	代	我们
4	建物	たてもの	2,3	名	建筑物
4	図書館	としょかん	3	名	图书馆
4	その	その	0	连体	那
4	閲覧室	えつらんしつ	3	名	阅览室
4	あの	あの	0	连体	那（远称）
4	ゲストハウス	guest house	4	名	招待所
4☆	朝	あさ	1	名	早晨
4☆	教室	きょうしつ	1	名	教室
4	います	います	2	自一	有,在
4	午後	ごご	1	名	下午
4	夜	よる	1	名	晚上,夜里
4☆	広場	ひろば	1	名	广场
4	池	いけ	2	名	池,池子
4☆	綺麗	きれい	1	形动	漂亮的,干净的
4	地下鉄	ちかてつ	0	名	地铁
4	駅	えき	1	名	车站
4	交通	こうつう	0	名	交通
4	とても	とても	0	副	很、非常
4	これから	これから	0,4	组	从现在起,现在
4	わざわざ	わざわざ	1	副	故意,故意地
4	広い	ひろい	2	形	宽敞的
4	ええ	ええ	1	叹	（表示答应）唉；好吧
4	立派	りっぱ	0	形动	美观的,出色的
4	体育館	たいいくかん	3,4	名	体育馆
4	いつも	いつも	1	副	经常，平日
4	誰	だれ	1	代	谁
4☆	留学生	りゅうがくせい	3,4	名	留学生
4	友人	ゆうじん	0	名	友人、朋友
4	どの	どの	1	连体	哪个
4	赤い	あかい	0,2	形	红的
4☆	静か	しずか	1	形动	安静的
4☆	賑やか	にぎやか	2	形动	热闹的
4	所	ところ	0,3	名	地方
4	何人	なんにん	1	名	多少人
